sido_cd,sido_nm,sgg_cd,sgg_nm,admdong_cd,admdong_nm
26,부산광역시,26230,부산진구,26230700,당감4동
26,부산광역시,26230,부산진구,26230760,개금3동
26,부산광역시,26230,부산진구,26230750,개금2동
26,부산광역시,26230,부산진구,26230740,개금1동
26,부산광역시,26230,부산진구,26230520,부전2동
26,부산광역시,26230,부산진구,26230510,부전1동
26,부산광역시,26230,부산진구,26230540,연지동
26,부산광역시,26230,부산진구,26230780,범천2동
26,부산광역시,26230,부산진구,26230770,범천1동
26,부산광역시,26230,부산진구,26230680,당감2동
26,부산광역시,26230,부산진구,26230670,당감1동
26,부산광역시,26230,부산진구,26230550,초읍동
26,부산광역시,26230,부산진구,26230610,전포2동
26,부산광역시,26230,부산진구,26230600,전포1동
26,부산광역시,26230,부산진구,26230720,가야2동
26,부산광역시,26230,부산진구,26230710,가야1동
26,부산광역시,26230,부산진구,26230660,부암3동
26,부산광역시,26230,부산진구,26230570,양정2동
26,부산광역시,26230,부산진구,26230560,양정1동
26,부산광역시,26230,부산진구,26230640,부암1동
